2026-05-04 00:05:46.320 - [审计日志] 时间: 2026-05-04 00:05:46 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"2396706066","username":"2396706066"},{}] | 结果: 成功 | 耗时: 78ms | 错误: 无
2026-05-04 17:11:15.114 - [审计日志] 时间: 2026-05-04 17:11:15 | 用户: 999 | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"2396706066","username":"2396706066"},{}] | 结果: 成功 | 耗时: 82ms | 错误: 无
2026-05-04 17:11:28.464 - [审计日志] 时间: 2026-05-04 17:11:28 | 用户: 2396706066 | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"admin","username":"admin"},{}] | 结果: 成功 | 耗时: 92ms | 错误: 无
2026-05-04 17:11:42.767 - [审计日志] 时间: 2026-05-04 17:11:42 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"8888","username":"8888"},{}] | 结果: 成功 | 耗时: 76ms | 错误: 无
2026-05-04 17:12:29.138 - [审计日志] 时间: 2026-05-04 17:12:29 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 动物管理 | 操作: 更新动物 | 方法: com.example.controller.AnimalController.update | 参数: [{"tpic":"f7cd3c438d15408ebc111cf0f18f7ff0","tstate":0,"tsex":"母","tname":"小黑","tdescribe":"无","tbirthday":1777910400000,"ttype":"阿拉斯加","id":10013}] | 结果: 成功 | 耗时: 25ms | 错误: 无
2026-05-04 17:14:07.450 - [审计日志] 时间: 2026-05-04 17:14:07 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 领养管理 | 操作: 提交领养申请 | 方法: com.example.controller.AdoptController.save | 参数: [{"income":0,"occupation":"学生","petnum":0,"gender":"男","fixresident":1,"uname":"999","apic":"f7cd3c438d15408ebc111cf0f18f7ff0","aname":"小黑","wechat":"12","experience":1,"uid":41,"maritalstatus":2,"tel":18419296192,"location":"1","familyagree":1,"aid":10013,"vstate":0,"age":19}] | 结果: 成功 | 耗时: 15ms | 错误: 无
2026-05-04 17:38:50.049 - [审计日志] 时间: 2026-05-04 17:38:50 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [22] | 结果: 成功 | 耗时: 13ms | 错误: 无
2026-05-04 17:38:51.870 - [审计日志] 时间: 2026-05-04 17:38:51 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [21] | 结果: 成功 | 耗时: 5ms | 错误: 无
2026-05-04 17:38:53.972 - [审计日志] 时间: 2026-05-04 17:38:53 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [20] | 结果: 成功 | 耗时: 4ms | 错误: 无
2026-05-04 17:38:55.673 - [审计日志] 时间: 2026-05-04 17:38:55 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [19] | 结果: 成功 | 耗时: 4ms | 错误: 无
2026-05-04 17:38:57.518 - [审计日志] 时间: 2026-05-04 17:38:57 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [18] | 结果: 成功 | 耗时: 4ms | 错误: 无
2026-05-04 17:38:59.407 - [审计日志] 时间: 2026-05-04 17:38:59 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [17] | 结果: 成功 | 耗时: 3ms | 错误: 无
2026-05-04 17:39:01.228 - [审计日志] 时间: 2026-05-04 17:39:01 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [16] | 结果: 成功 | 耗时: 4ms | 错误: 无
2026-05-04 17:39:03.005 - [审计日志] 时间: 2026-05-04 17:39:03 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [15] | 结果: 成功 | 耗时: 5ms | 错误: 无
2026-05-04 17:39:04.686 - [审计日志] 时间: 2026-05-04 17:39:04 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [14] | 结果: 成功 | 耗时: 4ms | 错误: 无
2026-05-04 17:39:07.268 - [审计日志] 时间: 2026-05-04 17:39:07 | 用户: 8888 | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [13] | 结果: 成功 | 耗时: 4ms | 错误: 无
